date,temp_c,precip_mm,weathercode
2008-06-26,18.700000000000003,0.0,3
2008-06-27,16.95,1.3,51
2008-06-28,18.05,0.6,51
2008-06-29,18.6,0.0,3
2008-06-30,17.4,0.1,51
2008-07-01,19.15,0.0,2
2008-07-02,24.05,0.3,51
2008-07-03,21.4,14.5,63
2008-07-04,16.35,12.4,63
2008-07-05,16.7,0.0,3
2008-07-06,19.6,0.2,51
2008-07-07,17.45,1.9,61
2008-07-08,16.15,3.0,55
2008-07-09,15.049999999999999,0.5,51
2008-07-10,17.35,16.8,61
2008-07-11,18.1,7.1,61
2008-07-12,16.5,0.5,51
2008-07-13,14.8,0.0,3
2008-07-14,15.4,0.7,51
2008-07-15,18.200000000000003,0.0,3
2008-07-16,15.35,6.5,55
2008-07-17,14.1,1.5,53
2008-07-18,15.399999999999999,2.5,53
2008-07-19,17.15,8.6,63
2008-07-20,14.55,3.3,55
2008-07-21,12.600000000000001,8.1,55
2008-07-22,14.85,0.6,51
2008-07-23,16.45,0.8,51
2008-07-24,18.1,0.0,1
2008-07-25,20.5,0.7,51
2008-07-26,23.6,0.7,51
2008-07-27,24.4,0.0,3
2008-07-28,24.25,0.0,3
2008-07-29,24.25,4.0,61
2008-07-30,22.0,0.0,3
2008-07-31,24.4,0.0,3
2008-08-01,22.85,3.5,61
2008-08-02,19.85,0.2,51
2008-08-03,20.05,4.2,53
2008-08-04,17.6,10.5,63
2008-08-05,17.700000000000003,2.2,51
2008-08-06,21.05,1.6,53
2008-08-07,23.6,4.5,63
2008-08-08,18.4,3.6,53
2008-08-09,15.95,0.9,53
2008-08-10,17.55,5.7,55
2008-08-11,17.85,0.0,3
2008-08-12,18.8,7.0,61
2008-08-13,17.35,4.2,63
2008-08-14,17.0,0.0,3
2008-08-15,15.75,0.2,51
2008-08-16,15.3,0.1,51
2008-08-17,16.7,0.0,3
2008-08-18,19.15,3.4,53
2008-08-19,19.1,0.2,51
2008-08-20,17.6,1.1,51
2008-08-21,17.8,0.1,51
2008-08-22,16.65,15.1,61
